11 09 05 05 01 01 05 01 01 05 01 01 05 01 05 03
10 12 03 09 06 10 13 02 10 13 02 10 13 00 07 10
10 09 06 12 03 10 13 02 10 13 02 10 13 00 07 10
08 00 05 01 06 08 01 06 12 05 02 12 05 00 05 06
10 10 11 12 07 10 12 05 05 05 06 11 11 12 05 03
08 00 02 13 05 00 05 05 01 05 01 00 00 01 03 10
10 10 12 05 01 04 01 05 06 13 06 14 14 10 14 10
08 04 05 03 08 07 10 09 01 03 11 09 05 04 05 06
08 05 05 04 00 05 06 12 06 12 02 12 03 11 13 03
08 01 05 05 06 13 05 05 03 11 12 03 12 00 05 02
10 10 09 05 03 13 05 03 10 12 03 12 03 12 03 10
10 10 12 05 04 01 01 02 08 05 06 11 12 03 14 10
08 00 05 03 13 02 10 10 12 05 05 00 07 10 09 06
10 14 11 12 03 12 02 12 05 03 11 12 05 02 12 03
08 03 08 05 04 07 12 03 09 04 04 05 05 04 07 10
14 14 12 05 05 05 05 06 12 05 05 05 05 05 05 06
